time_s,body,x_m,y_m,vx_m_s,vy_m_s,speed_m_s,radius_from_central_m,kinetic_J,potential_J,total_energy_J,angular_momentum_kg_m2_s
6048000.0,Moon,53369201841.35043,139506925915.967,-27144.178758623424,9890.946517109098,28890.08936442419,149367299082.56906,2.681003111491701e+33,-5.360347266497701e+33,-2.679344155006e+33,2.695004903147558e+40
6134400.0,Sun,-155814.34387696785,-427594.0646743937,0.0850458055135931,-0.03106855250987564,0.09054305048160682,0.0,2.6809288680181547e+33,-5.360273023009301e+33,-2.679344154991146e+33,2.695004903147558e+40
6134400.0,Earth,51251795636.81209,140643920227.04172,-27982.585502364283,10226.579068665998,29792.750978128977,149691666773.99246,2.6809288680181547e+33,-5.360273023009301e+33,-2.679344154991146e+33,2.695004903147558e+40
6134400.0,Moon,51023896307.063866,140347989691.52536,-27151.127109697718,9584.705739927842,28793.233362162853,149335635832.37003,2.6809288680181547e+33,-5.360273023009301e+33,-2.679344154991146e+33,2.695004903147558e+40
6220800.0,Sun,-148443.7332551525,-430215.104907093,0.08556591929191487,-0.029602171251605254,0.09054178641422896,0.0,2.680853976082646e+33,-5.360198131034916e+33,-2.6793441549522696e+33,2.6950049031475575e+40
6220800.0,Earth,48826578478.37668,141506573851.5847,-28155.19076401708,9741.697967838896,29792.87576342353,149693959336.5624,2.680853976082646e+33,-5.360198131034916e+33,-2.6793441549522696e+33,2.6950049031475575e+40
6220800.0,Moon,48676358993.61897,141164114657.74945,-27197.40198216571,9311.643491585171,28747.267332633404,149321234610.0136,2.680853976082646e+33,-5.360198131034916e+33,-2.6793441549522696e+33,2.6950049031475575e+40
6307200.0,Sun,-141029.27646866042,-432709.07156310807,0.08606073803494456,-0.02812710813583344,0.09054051492676757,0.0,2.680778442523877e+33,-5.360122597411008e+33,-2.6793441548871313e+33,2.695004903147557e+40
6307200.0,Earth,46386836015.614876,142327195875.04932,-28318.79986840274,9253.67899464409,29792.36480916821,149696043694.35666,2.680778442523877e+33,-5.360122597411008e+33,-2.6793441548871313e+33,2.695004903147557e+40
6307200.0,Moon,46322845643.989944,141957618171.1089,-27290.37300831898,9058.690044230856,28754.55310469339,149324838201.92648,2.680778442523877e+33,-5.360122597411008e+33,-2.6793441548871313e+33,2.695004903147557e+40
6393600.0,Sun,-133573.1652908491,-435075.2333820705,0.08653011759034514,-0.026643799964396555,0.09053923639363066,0.0,2.680702309418e+33,-5.360046464217169e+33,-2.679344154799169e+33,2.695004903147558e+40
